category_name,name,description,price,stock,image_filename
Dessert Kits,Dessert Decorating Kit,"Decorate cupcakes or cookies.",20.00,15,dessert_kits.png
Dessert Kits,Cake Pops Kit,"Make your own cake pops.",18.00,14,dessert_kits.png
Dessert Kits,Brownie Mix Kit,"DIY gooey brownies.",15.00,20,dessert_kits.png
Dessert Kits,Cookie Mix Kit,"DIY cookie baking kit.",15.00,20,dessert_kits.png
Dessert Kits,Matcha Dessert Kit,"Matcha flavored desserts kit.",28.00,12,dessert_kits.png
Dessert Kits,Coffee Drink Kit,"DIY artisan coffee kit.",20.00,18,dessert_kits.png
Dessert Kits,Hot Chocolate Kit,"Make gourmet hot chocolate.",18.00,20,dessert_kits.png
Dessert Kits,Fruit Tart Kit,"DIY tart shell + fillings.",22.00,10,dessert_kits.png
Dessert Kits,Tiramisu Kit,"Assemble-your-own tiramisu.",26.00,12,dessert_kits.png
Dessert Kits,Lemon Bar Kit,"DIY lemon bar baking kit.",16.00,15,dessert_kits.png
Dessert Kits,Donut Decorating Kit,"Decorate mini donuts.",18.00,16,dessert_kits.png
Dessert Kits,Cake Decorating Kit,"All tools to decorate cake.",25.00,10,dessert_kits.png
Dessert Kits,Scone Baking Kit,"Bake British scones.",14.00,20,dessert_kits.png
Dessert Kits,Chocolate Truffle Kit,"DIY chocolate truffles.",22.00,12,dessert_kits.png
Dessert Kits,Shortbread Kit,"DIY shortbread cookies.",14.00,20,dessert_kits.png
Dessert Kits,Vanilla Cupcake Kit,"Make vanilla cupcakes.",16.00,18,dessert_kits.png
Gift Boxes,Assorted Treat Box (Small),"Small box of baked goods.",20.00,12,gift_boxes.png
Gift Boxes,Assorted Treat Box (Large),"Large gift box of treats.",35.00,10,gift_boxes.png
Gift Boxes,Coffee Lovers Box,"Coffee + baked treats bundle.",30.00,14,gift_boxes.png
Gift Boxes,Tea Lovers Box,"Tea + biscuits gift set.",28.00,16,gift_boxes.png
Gift Boxes,Macaron Gift Box (12),"Premium macarons gift pack.",24.00,12,gift_boxes.png
Gift Boxes,Chocolate Lovers Box,"Chocolate desserts assortment.",32.00,10,gift_boxes.png
Gift Boxes,Birthday Celebration Box,"Birthday-themed desserts.",35.00,8,gift_boxes.png
Gift Boxes,Holiday Gift Box,"Seasonal holiday assortment.",40.00,6,gift_boxes.png
Gift Boxes,Boba Gift Box,"DIY boba tea gift bundle.",28.00,10,gift_boxes.png
Gift Boxes,Matcha Gift Box,"Matcha treats + drinks.",30.00,10,gift_boxes.png
Gift Boxes,Pastry Sampler Box,"Assorted pastries box.",28.00,12,gift_boxes.png
Gift Boxes,Dessert Variety Box,"Mixed desserts sampler.",30.00,10,gift_boxes.png
Gift Boxes,Cookie Gift Box,"Assorted cookies pack.",18.00,15,gift_boxes.png
Gift Boxes,Brownie Gift Box,"Brownie selection pack.",20.00,14,gift_boxes.png
Gift Boxes,Tea Time Box,"Tea + pastries assortment.",22.00,12,gift_boxes.png
Gift Boxes,Brunch Box,"Brunch pastries + drinks.",35.00,8,gift_boxes.png
Gift Boxes,Chocolate & Coffee Box,"Chocolate + coffee pairing.",32.00,10,gift_boxes.png
Gift Boxes,Caramel Box,"Caramel infused desserts.",20.00,15,gift_boxes.png
Gift Boxes,Deluxe Dessert Box,"Premium mixed desserts.",45.00,5,gift_boxes.png
Gift Boxes,Ultimate Treat Box,"Large assorted treat bundle.",50.00,4,gift_boxes.png
